Collection Name,Title,Part,Name,Name URI,Resource Type,Resource Type URI,Genre,Genre URI,Place Created,Publisher,Date Issued,Date Created,Edition,Issuance,Frequency,Language Term,Language Term URI,Language Term Type,Extent,Physical Description Note,Form#1,Form URI#1,Form#2,FormURI#2,Abstract,Table of Contents,Note,Note Type,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Topic#5,Subject Topic URI#5,Subject Name#1,Subject Name URI#1,Subject Name#2,Subject Name URI#2,Subject Name#3,Subject Name URI#3,Subject Geographic,Subject Geographic URI,Subject Temporal,Subject Temporal URI,Subject Title,Subject Title URI,Subject Genre,Subject Genre URI,Identifier,Identifier LUNA,Identifier ARK,Physical Location,Physical Location Type,Shelf Locator,Related Item,Related Item Type,Related Item Identifier,Related Item Location,Date Captured,Internet Media Type,Digital Origin,Access Condition,Access Condition URI
CU Chicanx History Collection,The EOP story,,"Higman, Howard",http://id.loc.gov/authorities/names/no98085933,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1978-05-01,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,86 pages,,Case studies,http://id.loc.gov/authorities/genreForms/gf2017026140,reports,http://vocab.getty.edu/page/aat/300027267,A report on the first 10 years of the program. Includes timeline of major events (according to the administration). Also includes UMAS political activity.,,,,College student development programs,http://id.worldcat.org/fast/867959,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College students--Societies and clubs,http://id.worldcat.org/fast/868054,Discrimination in education,http://id.worldcat.org/fast/895037,,,"University of Colorado, Boulder. Educational Opportunity Program",local,"Volsky, Theodore, Jr.",local,UMAS (Organization),http://id.worldcat.org/fast/626784,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_98_EOPstory.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,EOP restructuring,,"Hannon, Mark",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1970-01-05,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,5 pages,,correspondence,http://vocab.getty.edu/page/aat/300026877,memorandums,http://vocab.getty.edu/page/aat/300026906,"Letter to George Rainsford, re: EOP Restructuring. The letter reiterates students' complaints against the EOP program. The letter also proposes a Center for Inter-Cultural Programs.",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,Student unions,http://id.worldcat.org/fast/1136022,College student development programs,http://id.worldcat.org/fast/867959,,,,,"Rainsford, George N.",http://id.loc.gov/authorities/names/no2001066154,"Drucker, Peter F.",local,"University of Colorado, Boulder. Educational Opportunity Program",local,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_69-70budget_013.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Letter to Theodore Volsky regarding EOP programs,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1970-12-17,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,4 pages,,correspondence,http://vocab.getty.edu/page/aat/300026877,memorandums,http://vocab.getty.edu/page/aat/300026906,Letter to Vice President Volsky about the recommendation for a Center for Inter-Cultural Programs. The author of the letter comments on current complaints against the EOP programs.,,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College student development programs,http://id.worldcat.org/fast/867959,Student unions,http://id.worldcat.org/fast/1136022,,,,,"Volsky, Theodore, Jr.",local,"University of Colorado, Boulder. Educational Opportunity Program",local,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_69-70budget_012.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Letter to the editor; Colorado Daily,,"Thieme, Frederick P.",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1970-10-27,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,2 pages,,correspondence,http://vocab.getty.edu/page/aat/300026877,letters to the editor,http://vocab.getty.edu/page/aat/300343729,Draft letter from University president Thieme to the editor of the Daily Camera. The letter responds to allegations that the University froze funding for minority programs. The letter refutes the claim by adding text regarding the Regents' actions on the matter.,,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,Student aid,http://id.worldcat.org/fast/1432104,,,,,,,"Lange, Timothy",http://id.loc.gov/authorities/names/no2011105734,"University of Colorado, Boulder. Educational Opportunity Program",local,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_69-70budget_011.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,UMAS directorship,,"Hannon, Mark",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1971-11-15,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 pages,,correspondence,http://vocab.getty.edu/page/aat/300026877,memorandums,http://vocab.getty.edu/page/aat/300026906,"Memo to Lawson Crowe and Ted Volsky, re: UMAS Directorship. References a ""political showdown,"" between Pat Vigil and Becky Marrujo, stating that ""students in no way hired or fired anybody."" ",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College students--Societies and clubs,http://id.worldcat.org/fast/868054,College student government--Elections,http://id.worldcat.org/fast/1750825,,,,,"Crowe, Lawson",local,"Vigil, Patrick",local,"Marrujo, Becky",local,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_69-70budget_006.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Evaluation of the success of UMAS: Supportive programs at the University of Colorado,,"Vigil, Patrick",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,4 pages,,reports,http://vocab.getty.edu/page/aat/300027267,,,"Evaluation of the success of the UMAS supportive summer programs. Vigil concludes that while the UMAS students were classified as ""high-risk"" by the university they have ""performed far beyond expectations"" and the program had justified its value. ",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College students--Societies and clubs,http://id.worldcat.org/fast/868054,Mentoring in education,http://id.worldcat.org/fast/1016858,Discrimination in education,http://id.worldcat.org/fast/895037,College student development programs,http://id.worldcat.org/fast/867959,UMAS (Organization),http://id.worldcat.org/fast/626784,,,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_69-70budget_001.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Letter from Salvador Ramirez to Manny Carrillo,,"Ramirez, Salvador ",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1969-10-09,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,3 pages,,correspondence,http://vocab.getty.edu/page/aat/300026877,memorandums,http://vocab.getty.edu/page/aat/300026906,"Letter to Manny Carillo, Director of Mexican American Affairs. In response to a memo insistng that all policy, budget, and personnel should be cleared through Director of Mexican American Affairs, Ramirez outlines his history and on-going relationships on behalf of Mexican-American students and organizations (essentially, an argument over territory). Carillo memo also included (Oct 1, 1969)",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College students--Societies and clubs,http://id.worldcat.org/fast/868054,,,,,,,UMAS (Organization),http://id.worldcat.org/fast/626784,"Carrillo, Manny",local,"Vigil, Patrick",local,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_oct-dec69_001.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Areas and objectives of projects and departments concerning the United Mexican American Students and the University of Colorado,,UMAS (Organization),http://id.worldcat.org/fast/626784,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1969 Summer,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,2 pages,,reports,http://vocab.getty.edu/page/aat/300027267,memorandums,http://vocab.getty.edu/page/aat/300026906,"This document explains UMAS' role in Mexican American studies, community relations, and projects relating to Mexican American affairs on campus.",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,College students--Societies and clubs,http://id.worldcat.org/fast/868054,Student aid,http://id.worldcat.org/fast/1432104,,,,,,,,,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_EOPjul-sep69_010.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,Educational Opportunities Program for Mexican-Americans: Introduction and objectives,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,Undated,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,9 pages,,reports,http://vocab.getty.edu/page/aat/300027267,,,"Report titled, ""Educational Opportunities Program for Mexican-Americans, Introduction and Objectives."" The report talks about the integration of the summer program and states, ""Since the Mexican-American value system conflicts with the dominant white culture, the process or road to acculteration for Mexican-American youth is an impossible or at best a difficult task. The methods for dealing with the problems inherent with this culture conflict will be the organically integrated approach. The integration of the Program shall be achieved by structuring most of the student course work and related activites around the sociological concept of the role model emulation and the Mexican-American cultural pattern of the positive reinforcement values gained through the cohesiveness of the family."" The report continues to talk about the ""family feeling"" coming from staff members of the University.",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,Mentoring in education,http://id.worldcat.org/fast/1016858,Discrimination in education,http://id.worldcat.org/fast/895037,Minority college students--Recruiting,http://id.worldcat.org/fast/1023334,College student development programs,http://id.worldcat.org/fast/867959,"University of Colorado, Boulder. Educational Opportunity Program",local,,,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_EOPjul-sep69_011.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
CU Chicanx History Collection,The migrant action program at the University of Colorado - Fall 1968,,"Hoover, Jack",local,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,Records (Documents),http://id.loc.gov/authorities/genreForms/gf2014026163,,,,1969-04-01,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,8 pages,,reports,http://vocab.getty.edu/page/aat/300027267,conference proceedings,http://vocab.getty.edu/page/aat/300417790,"A paper presented at the 55th Annual Meeting of the American Association of Collegiate Registrars and Admissions Officers in Dallas, Texas, 1969. Migrant Action Program at CU - Fall 1968.",,,,Minorities--Education (Higher),http://id.worldcat.org/fast/1023138,Minority college students--Recruiting,http://id.worldcat.org/fast/1023334,Student aid,http://id.worldcat.org/fast/1432104,,,,,,,,,,,"University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)",GNIS: 178650,Nineteen seventies,http://id.loc.gov/authorities/subjects/sh96005520,Los Seis de Boulder,,,,narv_chicanxHistory_EVP_97_EOPjul-sep69_008.pdf,,,"University of Colorado Boulder. Special Collections, Archives & Preservation",,COU:3673,,,,,2021,application/pdf,reformatted digital,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
