"Collection Name","Title#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Physical Description Note#1","Form#1","Form URI#1","Form#2","Form URI#2","Abstract#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Geographic#1","Subject Geographic URI#1","Subject Temporal#1","Subject Temporal URI#1","Subject Title#1","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Date Captured#1","Internet Media Type#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Chicanx History Collection","Job description for proposed position of Direcor of Mexican American Affairs","UMAS (Organization)","http://id.worldcat.org/fast/626784","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1978-05-01","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","2 pages","","job descriptions","http://vocab.getty.edu/page/aat/300412028","","","Job description for proposed position of Director of Mexican American Affairs, submitted to President Joseph R. Smiley by the United Mexican American Students (UMAS).","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Help-wanted advertising","http://id.worldcat.org/fast/954848","","","","","Smiley, Joseph R.","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_294_apr-sep69_MAAdirector.pdf","https://ark.colorado.edu/ark:/47540/n10h5459r1w1","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","47","4875","narv_chicanxHistory_294_apr-sep69_MAAdirector.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~47~287148"
"CU Chicanx History Collection","Request for damage backing","Archuleta, Gary","local","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1970-01-05","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","15 pages","","financial application","http://vocab.getty.edu/page/aat/300425440","","","Event funding requests to the Cultural Events Board for the Cinco de Mayo celebration (1972), MAYA conference fundraising, music marathon (1971), benefit dance for Pakastani refugees (November, 1971), and the Ballet Chicano (September, 1971). Document mostly consists of funding request forms with little detail of the events. It also includes a request to the Cultural Events Board for damage backing regarding the Herbie Mann concert (March, 1972). There is also a standard request form with little information. (Cancelation of this concert is refered to in the Gary Archuleta letter re: the founding of U-LET-US-UNLIMITED - 1973-03-15; record identifier: narv_chicanxHistory_CEB_Correspondence_71-72_001.pdf).","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","UMAS (Organization)","http://id.worldcat.org/fast/626784","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_1971-1972_eventProposals.pdf","https://ark.colorado.edu/ark:/47540/5f9v31293144","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","22","4875","narv_chicanxHistory_CEB_1971-1972_eventProposals.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~22~287146"
"CU Chicanx History Collection","UMAS: December 11, 1971 concert","Frieland, Jeff","local","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1970-12-17","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 pages","","correspondence","http://vocab.getty.edu/page/aat/300026877","memorandums","http://vocab.getty.edu/page/aat/300026906","Memo; re: ""UMAS: December 11, 1971 Concert."" The memom announces the decision to not financially back the concert. (Cancellation of this concert is refered to in the Gary Archuleta letter; re: the founding of U-LET-US-UNLIMITED - 1973-03-15; record identifier: narv_chicanxHistory_CEB_Correspondence_71-72_001.pdf).","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","George, Randal F.","local","Corbridge, James","local","Erskin, William","local","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_1971-1972_UMASconcert.pdf","https://ark.colorado.edu/ark:/47540/vh182h62v6rp","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","23","4875","narv_chicanxHistory_CEB_1971-1972_UMASconcert.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~23~287144"
"CU Chicanx History Collection","Event request","UMAS (Organization)","http://id.worldcat.org/fast/626784","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1970-10-27","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","9 pages","","financial application","http://vocab.getty.edu/page/aat/300425440","","","Event funding requests to the Cultural Events Board, including Fiesta de la Gente, Chicano Awareness Days (November, 1972-December, 1972), and Cinco de Mayo (1973). Material includes detailed schedules and a brief justification.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","University Board on Student Finances","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_1972-1973_eventProposals.pdf","https://ark.colorado.edu/ark:/47540/xt707727j2r3","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","19","4875","narv_chicanxHistory_CEB_1972-1973_eventProposals.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~19~287142"
"CU Chicanx History Collection","Cancellation of a request for funds for MAYA Conference","Archuleta, Gary","local","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1971-11-15","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","7 pages","","financial application","http://vocab.getty.edu/page/aat/300425440","correspondence","http://vocab.getty.edu/page/aat/300026877","Open letter regarding the cancellation of the Herbie Mann and MAYA fundraising concert, as well as U-LET-US UNLIMITED. Includes copy of the ""May March for Maya Project"" budget for 1972.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student aid","http://id.worldcat.org/fast/1432104","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","UMAS (Organization)","http://id.worldcat.org/fast/626784","U-LET-US-UNLIMITED","local","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_Correspondence_71-72_001.pdf","https://ark.colorado.edu/ark:/47540/sr306m5388x1","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","25","4875","narv_chicanxHistory_CEB_correspondence_71-72_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~25~287140"
"CU Chicanx History Collection","Letter from UMAS to the University Board on Student Finance","UMAS (Organization)","http://id.worldcat.org/fast/626784","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","Undated","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 pages","","correspondence","http://vocab.getty.edu/page/aat/300026877","memorandums","http://vocab.getty.edu/page/aat/300026906","Memo to the University Board on Student Finance expressing concern regarding the University's Cultural Events Board's funding of UMAS cultural activities.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","University Board on Student Finances","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_correspondence_71-72_004.pdf","https://ark.colorado.edu/ark:/47540/kq6t6369r1gd","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","20","4875","narv_chicanxHistory_CEB_correspondence_71-72_004.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~20~287138"
"CU Chicanx History Collection","Letter from Jeff Friedland to Florencio Granado","Frieland, Jeff","local","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1969-10-09","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 pages","","correspondence","http://vocab.getty.edu/page/aat/300026877","memorandums","http://vocab.getty.edu/page/aat/300026906","Memo to Florencio Granado, UMAS President, regarding funding for the MAYA Conference.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","Granado, Florencio","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_correspondence_71-72_005.pdf","https://ark.colorado.edu/ark:/47540/wn2d9z74212s","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","21","4875","narv_chicanxHistory_CEB_correspondence_71-72_005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~21~287136"
"CU Chicanx History Collection","Letter from John Lansing to John Wong","Lansing, John R.","local","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1969 Summer","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 pages","","correspondence","http://vocab.getty.edu/page/aat/300026877","memorandums","http://vocab.getty.edu/page/aat/300026906","Letter to John Wong, coordinator of the University of Colorado's Equal Opportunity Program (EOP) regarding facilitation of events by the Cultural Events Board for UMAS-EOP Department.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","","","","","UMAS (Organization)","http://id.worldcat.org/fast/626784","Wong, John","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_Correspondence_73-74_001.pdf","https://ark.colorado.edu/ark:/47540/9s9n2t67v5xt","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","24","4875","narv_chicanxHistory_CEB_correspondence_73-74_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~24~287134"
"CU Chicanx History Collection","Ballet Mexicano","UMAS (Organization)","http://id.worldcat.org/fast/626784","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","Undated","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","4 pages","","proposals","http://vocab.getty.edu/page/aat/300027261","financial records","http://vocab.getty.edu/page/aat/300027473","""Ballet Mexicano,"" proposal for funding. Submitted to the University Board on Student Finance. Detailed description of the program included.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","Dance costume","http://id.worldcat.org/fast/887503","","","University Board on Student Finances","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_General_1972-1973.pdf","https://ark.colorado.edu/ark:/47540/r77m7w56j2k6","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","14","4875","narv_chicanxHistory_CEB_general_1972-1973.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~14~287132"
"CU Chicanx History Collection","Proposal for the funding of UMAS Dance Group costumes","UMAS (Organization)","http://id.worldcat.org/fast/626784","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1969-04-01","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","2 pages","","proposals","http://vocab.getty.edu/page/aat/300027261","financial records","http://vocab.getty.edu/page/aat/300027473","Proposal for funding from UMAS for an UMAS Dance Group.","Minorities--Education (Higher)","http://id.worldcat.org/fast/1023138","College students--Societies and clubs","http://id.worldcat.org/fast/868054","Student activities--Finance","http://id.worldcat.org/fast/1135805","Dance costume","http://id.worldcat.org/fast/887503","","","University Board on Student Finances","local","","","","","University of Colorado Boulder (Boulder, Colorado, United States, North America) (school)","GNIS: 178650","Nineteen seventies","http://id.loc.gov/authorities/subjects/sh96005520","Los Seis de Boulder","narv_chicanxHistory_CEB_Proposals_1972-1973_002.pdf","https://ark.colorado.edu/ark:/47540/8x8h0r52q3s1","University of Colorado Boulder. Special Collections, Archives & Preservation","COU:3673","2021","application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","15","4875","narv_chicanxHistory_CEB_proposals_1972-1973_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~24~24~15~287130"
